Contrast,#term ID,term description,genes mapped,enrichment score,direction,false discovery rate,method,matching proteins in your input (IDs),matching proteins in your input (labels)
CU_AD,GO:0006959,Humoral immune response,49,3.88231,top,0.00000055,ks,"9606.ENSP00000223642,9606.ENSP00000232003,9606.ENSP00000245907,9606.ENSP00000261267,9606.ENSP00000263408,9606.ENSP00000263413,9606.ENSP00000266542,9606.ENSP00000278407,9606.ENSP00000284981,9606.ENSP00000296280,9606.ENSP00000296861,9606.ENSP00000299367,9606.ENSP00000302046,9606.ENSP00000306099,9606.ENSP00000308541,9606.ENSP00000313967,9606.ENSP00000314299,9606.ENSP00000315130,9606.ENSP00000322061,9606.ENSP00000342082,9606.ENSP00000354458,9606.ENSP00000356030,9606.ENSP00000356037,9606.ENSP00000356385,9606.ENSP00000356395,9606.ENSP00000356399,9606.ENSP00000360281,9606.ENSP00000360697,9606.ENSP00000361761,9606.ENSP00000363770,9606.ENSP00000363773,9606.ENSP00000372136,9606.ENSP00000378131,9606.ENSP00000385035,9606.ENSP00000385834,9606.ENSP00000396688,9606.ENSP00000416561,9606.ENSP00000418009,9606.ENSP00000431254,9606.ENSP00000436607,9606.ENSP00000440066,9606.ENSP00000444271,9606.ENSP00000468253,9606.ENSP00000479119,9606.ENSP00000479675,9606.ENSP00000480035,9606.ENSP00000493985,9606.ENSP00000497910,9606.ENSP00000498441","C5,HRG,C3,LYZ,C9,C6,C1RL,SERPING1,APP,MASP1,TNFRSF21,C2,RNASE6,FGB,F2,C1QB,CFHR1,CLU,C7,SLPI,C8A,CD55,C4BPA,CFHR2,CFHR3,CFH,C8B,C8G,WFDC2,C1QC,C1QA,DEFA1B,CFI,C1S,TF,C4A,CFB,RARRES2,IGLL5,ADM,JCHAIN,C1R,CFD,IGHV1-3,IGHV3-15,IGHV3-72,KNG1,B2M,FGA"
CU_AD,GO:0006096,Glycolytic process,8,5.43912,bottom,0.0000149,afc,"9606.ENSP00000229270,9606.ENSP00000320171,9606.ENSP00000362413,9606.ENSP00000378731,9606.ENSP00000437402,9606.ENSP00000445175,9606.ENSP00000495530,9606.ENSP00000496166","TPI1,PKM,PGK1,ALDOC,ENO2,LDHA,ENO1,ALDOA"
CU_AD,GO:0009117,Nucleotide metabolic process,11,5.06322,bottom,0.0000149,afc,"9606.ENSP00000229270,9606.ENSP00000238018,9606.ENSP00000320171,9606.ENSP00000340278,9606.ENSP00000362413,9606.ENSP00000378731,9606.ENSP00000387159,9606.ENSP00000437402,9606.ENSP00000445175,9606.ENSP00000495530,9606.ENSP00000496166","TPI1,GDA,PKM,PARK7,PGK1,ALDOC,NPPC,ENO2,LDHA,ENO1,ALDOA"
CU_AD,GO:0009150,Purine ribonucleotide metabolic process,10,5.16146,bottom,0.0000149,afc,"9606.ENSP00000229270,9606.ENSP00000238018,9606.ENSP00000320171,9606.ENSP00000362413,9606.ENSP00000378731,9606.ENSP00000387159,9606.ENSP00000437402,9606.ENSP00000445175,9606.ENSP00000495530,9606.ENSP00000496166","TPI1,GDA,PKM,PGK1,ALDOC,NPPC,ENO2,LDHA,ENO1,ALDOA"
CU_AD,GO:0055086,Nucleobase-containing small molecule metabolic process,13,4.02636,bottom,0.0000149,afc,"9606.ENSP00000229270,9606.ENSP00000237014,9606.ENSP00000238018,9606.ENSP00000320171,9606.ENSP00000340278,9606.ENSP00000359131,9606.ENSP00000362413,9606.ENSP00000378731,9606.ENSP00000387159,9606.ENSP00000437402,9606.ENSP00000445175,9606.ENSP00000495530,9606.ENSP00000496166","TPI1,TTR,GDA,PKM,PARK7,EXTL2,PGK1,ALDOC,NPPC,ENO2,LDHA,ENO1,ALDOA"
CU_AD,GO:0006956,Complement activation,32,4.50407,top,0.0000158,ks,"9606.ENSP00000223642,9606.ENSP00000245907,9606.ENSP00000263408,9606.ENSP00000263413,9606.ENSP00000266542,9606.ENSP00000278407,9606.ENSP00000296280,9606.ENSP00000299367,9606.ENSP00000313967,9606.ENSP00000314299,9606.ENSP00000315130,9606.ENSP00000322061,9606.ENSP00000354458,9606.ENSP00000356030,9606.ENSP00000356037,9606.ENSP00000356385,9606.ENSP00000356395,9606.ENSP00000356399,9606.ENSP00000360281,9606.ENSP00000360697,9606.ENSP00000363770,9606.ENSP00000363773,9606.ENSP00000378131,9606.ENSP00000385035,9606.ENSP00000396688,9606.ENSP00000416561,9606.ENSP00000431254,9606.ENSP00000444271,9606.ENSP00000468253,9606.ENSP00000479119,9606.ENSP00000479675,9606.ENSP00000480035","C5,C3,C9,C6,C1RL,SERPING1,MASP1,C2,C1QB,CFHR1,CLU,C7,C8A,CD55,C4BPA,CFHR2,CFHR3,CFH,C8B,C8G,C1QC,C1QA,CFI,C1S,C4A,CFB,IGLL5,C1R,CFD,IGHV1-3,IGHV3-15,IGHV3-72"
CU_AD,GO:0006957,"Complement activation, alternative pathway",10,7.12263,top,0.0000186,afc,"9606.ENSP00000223642,9606.ENSP00000245907,9606.ENSP00000263408,9606.ENSP00000322061,9606.ENSP00000354458,9606.ENSP00000356399,9606.ENSP00000360281,9606.ENSP00000360697,9606.ENSP00000416561,9606.ENSP00000468253","C5,C3,C9,C7,C8A,CFH,C8B,C8G,CFB,CFD"
CU_AD,GO:0072521,Purine-containing compound metabolic process,11,4.36017,bottom,0.0000186,afc,"9606.ENSP00000229270,9606.ENSP00000237014,9606.ENSP00000238018,9606.ENSP00000320171,9606.ENSP00000362413,9606.ENSP00000378731,9606.ENSP00000387159,9606.ENSP00000437402,9606.ENSP00000445175,9606.ENSP00000495530,9606.ENSP00000496166","TPI1,TTR,GDA,PKM,PGK1,ALDOC,NPPC,ENO2,LDHA,ENO1,ALDOA"
CU_AD,GO:0006958,"Complement activation, classical pathway",25,4.80903,top,0.0000532,ks,"9606.ENSP00000223642,9606.ENSP00000245907,9606.ENSP00000263408,9606.ENSP00000263413,9606.ENSP00000266542,9606.ENSP00000278407,9606.ENSP00000299367,9606.ENSP00000313967,9606.ENSP00000315130,9606.ENSP00000322061,9606.ENSP00000354458,9606.ENSP00000356030,9606.ENSP00000356037,9606.ENSP00000360281,9606.ENSP00000360697,9606.ENSP00000363770,9606.ENSP00000363773,9606.ENSP00000378131,9606.ENSP00000385035,9606.ENSP00000396688,9606.ENSP00000431254,9606.ENSP00000444271,9606.ENSP00000479119,9606.ENSP00000479675,9606.ENSP00000480035","C5,C3,C9,C6,C1RL,SERPING1,C2,C1QB,CLU,C7,C8A,CD55,C4BPA,C8B,C8G,C1QC,C1QA,CFI,C1S,C4A,IGLL5,C1R,IGHV1-3,IGHV3-15,IGHV3-72"
CU_AD,GO:0044282,Small molecule catabolic process,13,3.70321,bottom,0.0000532,afc,"9606.ENSP00000200691,9606.ENSP00000222381,9606.ENSP00000229270,9606.ENSP00000238018,9606.ENSP00000252486,9606.ENSP00000262644,9606.ENSP00000284031,9606.ENSP00000320171,9606.ENSP00000340278,9606.ENSP00000359539,9606.ENSP00000362413,9606.ENSP00000437402,9606.ENSP00000495530","MT3,PON1,TPI1,GDA,APOE,IMPAD1,DDAH1,PKM,PARK7,GOT1,PGK1,ENO2,ENO1"
