"","Protein","CU vs AD","CU vs NPH","AD vs NPH","Sums"
"1","MDH1_P40925",1,1,1,3
"2","SMOC1_Q9H4F8",1,1,1,3
"3","GOT1_P17174",1,1,1,3
"4","BASP1_P80723",1,0,1,2
"5","TPI1_P60174",1,1,1,3
"6","NEGR1_Q7Z3B1",0,1,1,2
"7","PKM_P14618",1,0,1,2
"8","NRXN1_Q9ULB1",0,1,1,2
"9","SIRPA_P78324",0,1,1,2
"10","NRXN3_Q9HDB5.Q9Y4C0",0,1,1,2
"11","NPTX1_Q15818",0,1,1,2
"12","NRXN1.NRXN3_Q9ULB1.Q9Y4C0",0,1,1,2
"13","L1CAM_P32004",1,1,1,3
"14","ALDOA_P04075",1,0,1,2
"15","NRXN2_Q9P2S2",0,1,1,2
"16","B4GAT1_O43505",0,1,1,2
"17","NRCAM_Q92823",0,1,1,2
"18","TMEM132A_Q24JP5",1,1,1,3
"19","NRXN3_Q9Y4C0",0,1,1,2
"20","LDHA_P00338",1,0,1,2
"21","SEMA3G_Q9NS98",0,1,1,2
"22","EPHA4_P54764",0,1,1,2
"23","ROBO1_Q9Y6N7",1,1,1,3
"24","LDHB_P07195",1,1,1,3
"25","PTPRG_P23470",0,1,1,2
"26","SEZ6_Q53EL9",0,1,1,2
"27","LSAMP_Q13449",0,1,1,2
"28","NEO1_Q92859",0,1,1,2
"29","APOE_P02649",0,1,1,2
"30","CACNA2D1_P54289",0,1,1,2
"31","FAM3C_Q92520",0,1,1,2
"32","NFASC_O94856",0,1,1,2
"33","GDA_Q9Y2T3",1,0,1,2
"34","IL6ST_P40189",0,1,1,2
"35","ADAM22_Q9P0K1",0,1,1,2
"36","NRXN2.NRXN3_Q9P2S2.Q9Y4C0",0,1,1,2
"37","NTM.OPCML_Q14982.Q9P121",0,1,1,2
"38","BPNT2_Q9NX62",0,1,1,2
"39","CRTAC1_Q9NQ79",0,1,1,2
"40","CHL1_O00533",0,1,1,2
"41","CLSTN1_O94985",0,1,1,2
"42","NELL2_Q99435",0,1,1,2
"43","RGMB_Q6NW40",0,1,1,2
"44","SEZ6L_Q9BYH1",0,1,1,2
"45","CADM3_Q8N126",0,1,1,2
"46","ADGRB2_O60241",0,1,1,2
"47","TXN_P10599",1,0,1,2
"48","PAM_P19021",0,1,1,2
"49","GRIA4_P48058",0,1,1,2
"50","ATP6AP1_Q15904",0,1,1,2
"51","MEGF9_Q9H1U4",0,1,1,2
"52","SPINT2_O43291",0,1,1,2
"53","PEBP1_P30086",1,0,1,2
"54","SEZ6L2_Q6UXD5",0,1,1,2
"55","CHGB_P05060",0,1,1,2
"56","PCDH1_Q08174",0,1,1,2
"57","OPCML_Q14982",0,1,1,2
"58","DKK3_Q9UBP4",0,1,1,2
"59","TGFBR3_Q03167",1,1,1,3
"60","APLP2_Q06481",0,1,1,2
"61","SCG2_P13521",0,1,1,2
"62","ENO2_P09104",1,0,1,2
"63","TGOLN2_O43493",0,1,1,2
"64","NPPC_P23582",1,1,1,3
"65","NRXN2_P58401.Q9P2S2",0,1,1,2
"66","SCG3_Q8WXD2",0,1,1,2
"67","PARK7_Q99497",1,0,1,2
"68","MAN2A2_P49641",0,1,1,2
"69","MEGF8_Q7Z7M0",0,1,1,2
"70","ICAM5_Q9UMF0",0,1,1,2
"71","CDH13_P55290",0,1,1,2
"72","LRRC4B_Q9NT99",0,1,1,2
"73","PTPRF_P10586",0,1,1,2
"74","NPTXR_O95502",0,1,1,2
"75","ALDOC_P09972",1,0,1,2
"76","APLP1_P51693",0,1,1,2
"77","CUTA_O60888",0,1,1,2
